point_id,lon,lat,highway,itinerary_id,osrm_travel_distance
63,78.4307333,17.40944765,residential,2,254.2
220,78.4335513,17.4090678,tertiary,2,332.3
53,78.4285361,17.40781945,residential,2,738.0
529,78.4228796,17.4087387,residential,2,722.1
666,78.419018,17.40771535,residential,2,1015.3
811,78.4184596,17.4069225,residential,2,321.7
18,78.41954045,17.4051552,residential,2,347.1
945,78.42229955,17.4050221,residential,2,365.4
646,78.42380725000001,17.404606100000002,residential,2,308.7
293,78.4237394,17.404126249999997,residential,2,68.5
112,78.42079530000001,17.4032223,residential,2,334.6
927,78.42522665,17.40657015,residential,2,705.9
333,78.41571569999999,17.40726015,tertiary,2,1180.5
49,78.4138877,17.40862585,residential,2,352.4
470,78.411528,17.404427849999998,residential,2,843.9
768,78.41170905,17.403139000000003,residential,2,324.0
300,78.4081309,17.40605685,residential,2,674.5
502,78.40561635,17.40311295,residential,2,1436.0
770,78.40472155,17.40275145,residential,2,179.0
150,78.40396605000001,17.402813950000002,residential,2,354.4
241,78.39988755,17.4036435,residential,2,516.8
722,78.39976820000001,17.404191400000002,residential,2,72.7
868,78.40043539999999,17.39979715,tertiary,2,674.2
224,78.4011188,17.3995325,residential,2,200.7
708,78.40135065000001,17.39740115,tertiary,2,386.9
627,78.39920359999999,17.398748,residential,2,377.9
734,78.3959306,17.39949325,residential,2,416.4
584,78.39463799999999,17.3984126,residential,2,273.9
716,78.3925078,17.3976076,residential,2,303.3
647,78.39271295,17.3995836,residential,2,294.3
761,78.40187455,17.40881645,secondary,2,1987.0
83,78.4057345,17.414732649999998,residential,2,873.6
411,78.4688356,17.47240865,residential,3,
248,78.46891930000001,17.4722691,residential,3,18.1
192,78.46931620000001,17.4701186,residential,3,367.9
197,78.4692627,17.4695403,residential,3,71.8
933,78.46940190000001,17.467704400000002,residential,3,231.1
615,78.4699883,17.46787475,residential,3,93.1
944,78.4694234,17.466065399999998,residential,3,261.1
202,78.47074795,17.46610875,residential,3,212.0
357,78.47144700000001,17.465448000000002,residential,3,124.2
106,78.4705056,17.4631107,residential,3,379.6
659,78.47589295,17.4627799,residential,3,821.3
426,78.47475370000001,17.465068549999998,residential,3,320.3
602,78.47366385000001,17.4655698,residential,3,151.4
955,78.4752842,17.46662645,residential,3,276.3
221,78.4766381,17.4651362,residential,3,299.1
466,78.47411145000001,17.46464575,residential,3,440.5
727,78.472903,17.463744300000002,trunk,3,833.1
947,78.4757524,17.4585487,residential,3,957.6
448,78.47093585,17.45425485,secondary,3,975.3
913,78.46685930000001,17.45643425,residential,3,750.1
976,78.48043565,17.46638685,residential,3,3446.7
57,78.48183315,17.46758395,tertiary,3,339.7
454,78.480888,17.468662600000002,secondary,3,156.4
758,78.47863345,17.4688722,secondary,3,246.3
593,78.47739630000001,17.469233850000002,secondary,3,455.7
189,78.4847154,17.45680395,trunk,3,2199.2
959,78.48247814999999,17.45001595,residential,3,1341.3
921,78.48284385,17.4465637,residential,3,629.8
753,78.48198475000001,17.445986949999998,residential,3,277.6
210,78.4794862,17.444609149999998,residential,3,462.7
467,78.47930585,17.4440357,residential,3,77.8
642,78.47776275000001,17.44660925,residential,3,427.5
988,78.47484,17.4471773,residential,3,436.5
797,78.47501475,17.4443333,residential,3,389.9
435,78.48756685000001,17.4418957,secondary,3,1584.6
778,78.4856733,17.4364807,residential,3,846.3
4,78.48592235,17.4342561,residential,3,282.5
808,78.48793309999999,17.435617550000003,residential,3,380.7
359,78.4882767,17.4394955,trunk,3,508.8
962,78.48460075,17.44158575,residential,3,937.0
173,78.4816223,17.43878385,residential,3,639.2
669,78.48920415,17.4335226,residential,3,1216.3
386,78.4910352,17.4344083,tertiary,3,301.9
429,78.4916659,17.4391166,residential,3,598.4
899,78.5008315,17.4344075,tertiary,3,1502.7
621,78.50088635,17.43463075,tertiary,3,26.8
355,78.49862150000001,17.4313512,tertiary,3,999.9
403,78.4986882,17.4298492,residential,3,239.6
231,78.49817999999999,17.4307034,tertiary,3,245.0
910,78.49677905,17.43055455,residential,3,355.7
917,78.49176505,17.426781300000002,residential,3,979.0
738,78.49185410000001,17.4263897,residential,3,57.5
679,78.48966295,17.42302325,residential,3,773.7
653,78.4901807,17.42028975,residential,3,396.6
27,78.48835595,17.42179455,residential,3,470.8
249,78.48826545,17.42192855,residential,3,46.0
835,78.48770289999999,17.42318285,residential,3,500.7
696,78.48499405,17.42078375,secondary,3,532.0
915,78.48607795000001,17.43113505,secondary,3,1415.0
550,78.48636105,17.4254444,trunk,3,1140.9
504,78.4840251,17.420870049999998,trunk,3,3928.5
107,78.4648696,17.41195335,residential,3,3553.8
324,78.4656292,17.4086473,residential,3,1129.3
490,78.4662305,17.40866995,residential,3,80.5
549,78.46053555,17.407986700000002,trunk,3,1170.2
463,78.46401165,17.40490135,trunk,3,547.2
638,78.4581328,17.4018206,tertiary,3,911.5
540,78.46007945,17.3981481,residential,3,488.8
883,78.46038145,17.39827665,residential,3,35.2
577,78.46011405,17.395217449999997,tertiary,3,386.2
362,78.4580388,17.3957011,residential,3,305.0
311,78.455498,17.395173149999998,secondary,3,389.5
721,78.4560497,17.391357550000002,residential,3,596.2
312,78.4541754,17.38827645,residential,3,502.3
160,78.4524951,17.38793515,residential,3,378.4
30,78.44236825,17.38706645,residential,3,1158.8
969,78.44067735,17.386931,residential,3,200.5
194,78.4381285,17.38642575,residential,3,336.7
449,78.43685239999999,17.3858441,residential,3,180.5
675,78.4371843,17.38502225,residential,3,162.9
694,78.4342391,17.38608915,residential,3,498.3
396,78.43798515,17.38345655,residential,3,642.7
571,78.4414849,17.38556505,residential,3,568.9
587,78.44297815,17.3841641,residential,3,286.2
452,78.44250199999999,17.3834887,residential,3,117.5
59,78.43813735,17.3797302,residential,3,847.3
190,78.4356431,17.38255715,residential,3,550.4
789,78.435383,17.382904,residential,3,61.8
131,78.42946075,17.3772792,primary,3,1246.2
388,78.43243179999999,17.3794316,residential,3,939.9
920,78.4280115,17.38941665,tertiary,3,1491.2
626,78.42834245,17.389935,residential,3,185.8
319,78.4282872,17.39199995,residential,3,415.4
15,78.4239949,17.3900018,residential,3,739.3
774,78.42426280000001,17.39149145,residential,3,167.8
352,78.42149979999999,17.3942096,residential,3,810.5
238,78.4232181,17.39461515,residential,3,250.7
695,78.41964575,17.3940011,residential,3,907.0
528,78.41673155,17.3982011,residential,3,956.2
952,78.41780495,17.39796065,residential,3,141.2
776,78.4170523,17.3999536,residential,3,549.9
6,78.4136303,17.399387400000002,residential,3,553.2
601,78.41294805000001,17.4010907,primary,3,255.5
880,78.41025255,17.3971972,residential,3,787.5
754,78.4104962,17.3948806,residential,3,372.0
215,78.4064671,17.3965067,residential,3,539.7
433,78.40625895,17.38941055,residential,3,1210.0
351,78.40457305,17.3901434,residential,3,200.8
639,78.40229070000001,17.39225265,residential,3,425.5
103,78.39958075000001,17.38950205,residential,3,632.6
750,78.40272974999999,17.3862561,residential,3,745.2
115,78.40535795,17.38639465,residential,3,282.7
825,78.4049854,17.38693155,residential,3,90.7
660,78.40774834999999,17.38723945,residential,3,397.1
270,78.4078413,17.38490195,residential,3,344.2
547,78.40632629999999,17.38399655,residential,3,256.3
751,78.4033331,17.38413215,tertiary,3,443.2
546,78.40742435,17.380578550000003,residential,3,706.9
277,78.40843609999999,17.3789009,residential,3,367.3
34,78.4092572,17.377767,residential,3,225.8
397,78.4105412,17.37550735,residential,3,391.6
739,78.41176515000001,17.37618105,residential,3,208.7
837,78.41255105,17.377957950000003,residential,3,279.4
948,78.41259314999999,17.37925,tertiary,3,190.7
321,78.41342424999999,17.37917305,residential,3,106.8
559,78.4139433,17.378858,residential,3,89.7
43,78.4141055,17.3774588,residential,3,185.1
663,78.4146838,17.377235849999998,residential,3,142.3
82,78.4156204,17.3774922,residential,3,185.5
871,78.41596995,17.378741650000002,residential,3,182.5
699,78.41583195,17.375277099999998,residential,3,468.5
473,78.41619259999999,17.3745461,residential,3,301.6
151,78.41875005,17.37475105,primary,3,411.9
