lon,lat,highway,point_id,osrm_travel_distance,itinerary_id
77.0564675,28.658566,residential,44,34.7,10
77.05202940000001,28.66379055,primary,38,961.6,10
77.06194794999999,28.6692244,residential,74,1511.3,10
77.07207145000001,28.67529665,residential,265,1474.5,10
77.07850205,28.6782172,residential,278,1090.7,10
77.07970885,28.67019735,tertiary,234,1101.1,10
77.0835158,28.66867905,residential,664,670.5,10
77.0849415,28.669462350000003,residential,568,230.5,10
77.08589845,28.66888385,residential,564,182.6,10
77.0932507,28.6659114,residential,951,1329.8,10
77.0913508,28.65998675,residential,232,839.9,10
77.08960795,28.65512915,tertiary,108,586.1,10
77.0897443,28.6483687,residential,494,1064.0,10
77.0892831,28.6447342,residential,750,442.1,10
77.0891744,28.643603,tertiary,517,176.6,10
77.0956003,28.644477199999997,residential,852,827.0,11
77.0983587,28.644429799999997,residential,67,350.1,11
77.11164435,28.6317557,tertiary,91,2433.3,11
77.11467175,28.6355319,residential,641,1008.6,11
77.11564475,28.62181625,residential,853,1952.7,11
77.10279854999999,28.6048293,residential,858,3227.9,11
77.09726905,28.592358,residential,909,2017.6,11
77.0960427,28.5904067,residential,28,376.4,11
77.0952858,28.5904197,residential,277,74.1,11
77.09007885,28.58467135,tertiary,681,1057.6,11
77.0885409,28.58195985,residential,579,437.4,11
77.0854201,28.5934944,residential,65,1638.9,11
77.08884735000001,28.5934025,residential,950,460.1,11
77.08286104999999,28.5981372,residential,385,973.5,11
77.07676935,28.60079035,residential,649,863.2,11
77.07693125,28.6042279,residential,239,464.8,11
77.0784428,28.604065,residential,557,300.4,11
77.0836779,28.60456945,residential,275,824.4,11
77.0838436,28.6111723,residential,358,1099.6,12
77.07224285000001,28.61043115,residential,268,1237.2,12
77.07064345,28.6124979,residential,769,384.6,12
77.06688615,28.612345849999997,residential,368,389.3,12
77.06699695,28.6158955,residential,548,507.3,12
77.0725913,28.6148824,residential,591,822.3,12
77.06674965,28.60670725,residential,467,1517.0,12
77.05576925,28.60738695,residential,926,1188.1,12
77.05618365000001,28.6137912,residential,894,881.0,12
77.0571095,28.6142351,residential,442,198.6,12
77.05308475,28.6169511,residential,869,727.1,12
77.0508133,28.61821885,residential,31,366.1,12
77.05308175,28.622493,residential,483,1298.7,12
77.05384995,28.62235675,residential,279,459.6,12
77.048913,28.62765085,residential,932,1143.9,12
77.047523,28.6268912,residential,157,219.8,12
77.03413225,28.62152785,residential,708,1735.5,12
77.0335851,28.62112845,residential,947,100.3,12
77.03390635,28.6203323,residential,939,121.0,12
77.03431125,28.6193752,secondary,224,547.3,12
77.0301092,28.618166,residential,555,515.4,12
77.02619825,28.616045550000003,residential,986,715.1,12
77.02343400000001,28.61683265,residential,428,477.2,12
77.0301336,28.6217297,tertiary,480,1219.7,12
77.02990395,28.62780045,residential,348,874.6,12
77.03059185000001,28.6313836,residential,113,677.5,12
77.03139005,28.63665365,residential,161,794.5,13
77.03451285,28.63536225,residential,705,445.9,13
77.03839245,28.6423937,residential,33,1150.6,13
77.05379445,28.64422425,residential,824,1725.4,13
77.03544785,28.6501108,tertiary,569,2547.0,13
77.0348263,28.65847615,residential,158,1293.1,13
77.04066785,28.66060225,residential,914,804.5,13
77.025664,28.6513952,residential,322,2694.0,13
77.01897405,28.63596445,residential,177,2719.4,13
77.01619085,28.63469955,residential,97,406.8,13
77.02173695,28.6324437,residential,772,784.1,13
77.0107798,28.6334119,residential,36,1161.4,13
77.0049669,28.626019,residential,616,1601.8,13
76.99691965,28.6321947,residential,534,1376.9,13
76.9953734,28.62572695,residential,251,954.5,14
76.9870847,28.61314405,residential,816,2474.4,14
76.98872829999999,28.6135067,residential,286,423.7,14
76.98320104999999,28.6078311,residential,620,1203.6,14
76.98983995,28.60287875,residential,863,1438.1,14
76.9988661,28.6028183,residential,343,1052.7,14
77.0044576,28.60022085,residential,529,808.1,14
77.00521165,28.595995700000003,residential,892,589.0,14
76.9966899,28.5928498,residential,699,1252.6,14
76.9958053,28.59297945,residential,943,95.7,14
76.98481534999999,28.591695,residential,949,1498.0,14
76.97704125,28.589148,residential,832,1388.5,14
76.9794485,28.5864616,residential,372,579.6,14
76.9797665,28.59492215,tertiary,128,1512.0,14
76.96662004999999,28.6050763,residential,489,2561.4,14
76.96385475,28.6068856,residential,756,468.4,14
76.9693895,28.61173945,residential,40,1088.6,14
76.9692388,28.6143759,residential,595,381.3,14
76.95042305000001,28.6267044,tertiary,691,2590.3,15
76.94240694999999,28.6251082,residential,64,927.9,15
76.96190055,28.62749465,residential,462,2741.6,15
76.96276725,28.62788505,tertiary,107,130.2,15
76.97148315,28.631073,residential,122,1012.6,15
76.97368990000001,28.631293300000003,residential,945,287.6,15
76.9516285,28.65589835,residential,452,4447.7,15
76.94227839999999,28.66515045,residential,445,1743.6,15
76.94316405000001,28.66558535,residential,565,768.0,15
76.97845095,28.6659962,residential,129,4637.7,15
