itinerary_id,part,google_maps_url
7,1,"https://www.google.com/maps/dir/18.9664435,72.8170139/18.9602936,72.8264514/18.9580156,72.8285649/18.958147,72.8290745/18.958178,72.8306732/18.9582005,72.8318274/18.9592741,72.8302432/18.9591973,72.8302274/18.9580144,72.8274465/18.9561503,72.8232875/18.9531539,72.825581/18.9506844,72.8204298/18.9495189,72.8211158/18.952167,72.8210024/18.9487071,72.8266606/18.9496405,72.8273003/18.9512205,72.8284755/18.9501592,72.8280714/18.9432554,72.8290966/18.9433401,72.8290661"
7,2,"https://www.google.com/maps/dir/18.9435775,72.8291008/18.944659,72.8282611/18.9437053,72.8278514/18.9445794,72.8265106/18.9359595,72.8274513/18.9329937,72.8280407/18.9330834,72.8270764/18.9314631,72.8232336/18.9314631,72.8232336/18.9313078,72.8228492/18.9289139,72.8230904/18.9289988,72.8249626/18.9267074,72.8269694/18.9264383,72.8270585/18.9265124,72.8269144/18.9271457,72.8259816/18.927643,72.8217115/18.9276036,72.8216338/18.9260361,72.8230843/18.9259012,72.8229732"
7,3,"https://www.google.com/maps/dir/18.925732,72.8257724/18.9253926,72.8252426/18.9253926,72.8252426/18.9265476,72.828042/18.9263055,72.8292197/18.926971,72.82972/18.9258869,72.829771"
8,1,"https://www.google.com/maps/dir/18.9255071,72.8319897/18.925623,72.8321984/18.9252387,72.8325481/18.9250614,72.8321264/18.9242645,72.8320587/18.9224596,72.8328032/18.9213384,72.8309032/18.9208963,72.8306402/18.9189023,72.8290725/18.918397,72.8294801/18.9179341,72.8287464/18.9162743,72.8293525/18.9167028,72.82921/18.9163021,72.828113/18.9163021,72.828113/18.9162922,72.8273056/18.9193,72.8274672/18.9198207,72.8277419/18.9152808,72.8304961/18.9168552,72.8290303"
8,2,"https://www.google.com/maps/dir/18.9138299,72.8275692/18.9137301,72.8262457/18.912773,72.8233653/18.9127365,72.8234029/18.9125965,72.8231394/18.9121711,72.8234243/18.9117657,72.8214285/18.9111765,72.8208639/18.9103889,72.8201442/18.9103889,72.8201442/18.9060052,72.8163986/18.9066022,72.8147079/18.906705,72.814658/18.906658,72.8147917/18.9065607,72.8116026/18.9072158,72.8098097/18.9073597,72.8087078/18.9074112,72.8082728/18.9068828,72.8067951/18.9071703,72.8068308"
8,3,"https://www.google.com/maps/dir/18.9066636,72.8067671/18.9064982,72.8067459/18.9048917,72.8058306/18.9035555,72.8063561/18.902583,72.80899339999999/18.903029,72.8096015/18.9054081,72.8093867/18.9090598,72.8090921/18.9113162,72.8108614/18.9115365,72.8111596/18.9137854,72.8086722/18.9089902,72.8133934/18.9092243,72.8138396/18.9090648,72.8141043"
9,1,"https://www.google.com/maps/dir/18.9035929,72.8172147/18.9005317,72.8142046/18.8997422,72.8136285/18.9002697,72.8116067/18.9004212,72.8113898/18.8973967,72.8098802/18.8979451,72.80829335/18.8977296,72.8119472/18.8973056,72.8134199/18.8978471,72.8131878/18.9119486,72.8173384/18.9117828,72.816772/18.9118405,72.8195784/18.9143089,72.8217366/18.9157811,72.8229093/18.915798,72.8245771/18.912406,72.8237085/18.9104122,72.8258924/18.9163268,72.819072/18.9163477,72.8190912"
9,2,"https://www.google.com/maps/dir/18.9148253,72.8189132/18.916591,72.8166/18.9210264,72.8263833/18.9257049,72.8270001/18.9285018,72.8281185/18.9297226,72.8277408/18.9321698,72.8273919/18.9304107,72.8244896/18.9306994,72.823912/18.9323391,72.8280194/18.9363103,72.8291939/18.9362795,72.8286718"
10,1,"https://www.google.com/maps/dir/18.9327529,72.8300416/18.9325485,72.8312461/18.9329497,72.8312003/18.9336508,72.8312141/18.93263,72.8300149/18.9327901,72.8285775/18.9374976,72.8241672/18.9374317,72.8243031/18.9365577,72.8242597/18.9368121,72.8254727/18.9344942,72.830318/18.9350945,72.8306082/18.9388769,72.8300837/18.9444153,72.8244163/18.9709234,72.8060346/18.9772874,72.8078708/18.9772936,72.8078149/18.9743889,72.8061944/18.9752537,72.8103153/18.9753853,72.8108226"
10,2,"https://www.google.com/maps/dir/18.974298,72.8111386/18.9706395,72.8109917/18.9706395,72.8109917/18.964665,72.8075374/18.9632803,72.8078077"
11,1,"https://www.google.com/maps/dir/18.9667244,72.8075339/18.9687938,72.808712/18.9618013,72.8116903/18.9733542,72.8206449/18.9705033,72.8280281/18.9700393,72.8300545/18.9701756,72.8331403/18.9681388,72.8327945/18.9699656,72.831415/18.9698744,72.8354418/18.9678138,72.8372216/18.9667091,72.8394769/18.965945,72.8391631/18.9656427,72.8390434/18.966134,72.8381948/18.9657155,72.8406374/18.9649104,72.8395609/18.9635458,72.8440048/18.9646969,72.8443459/18.965469,72.8445578"
11,2,"https://www.google.com/maps/dir/18.9646969,72.8443459/18.964774,72.8453427/18.9645837,72.8452991/18.966093,72.8471768/18.9671524,72.8470937/18.9667462,72.8467779/18.9673524,72.8460429/18.9697309,72.8459756/18.9723929,72.8482774/18.9760861,72.846312/18.9768468,72.8453015/18.9778908,72.8449403/18.9761846,72.8447929/18.9716606,72.8431708/18.9720834,72.8452221"
12,1,"https://www.google.com/maps/dir/18.9723361,72.8417481/18.9709653,72.8415093/18.96974,72.8424652/18.9697968,72.8429592/18.9682941,72.8419344/18.9684548,72.8433155/18.9682207,72.8438111/18.968733,72.8404167/18.9732123,72.8376211/18.9732123,72.8376211/18.973768,72.8341771/18.9716436,72.8337255/18.9756761,72.8354888/18.9762255,72.8405145/18.9784855,72.8411531/18.97933,72.8409439/18.9783093,72.8422658/18.9814642,72.8409881/18.9821163,72.8409174/18.9821263,72.8398193"
12,2,"https://www.google.com/maps/dir/18.9832186,72.8409138/18.9853224,72.8421058/18.9853174,72.8421852/18.9880649,72.8413389/18.9887304,72.8422371/18.9906328,72.8414803/18.9899544,72.8389142/18.9910491,72.8382584/18.9905147,72.8345747/18.987713,72.8339043/18.989052,72.8353975/18.9867214,72.8318878/18.9874008,72.83177115000001/18.9890414,72.8315978/18.9919978,72.8315982/18.9951414,72.8313294/18.9953623,72.8313196/18.9981325,72.8299312/19.000864,72.8309863/19.000867,72.8310756"
12,3,"https://www.google.com/maps/dir/19.0001189,72.8309999/19.0050359,72.8309043/19.0050359,72.8309043/19.0050359,72.8309043/19.0087285,72.8310266/19.0088432,72.8328383/19.0091918,72.8334559/19.0088321,72.834169"
13,1,"https://www.google.com/maps/dir/19.0077292,72.8356862/19.0118209,72.8342351/19.012598,72.8335161/19.0126614,72.8331219/19.013708,72.834188/19.0144466,72.8327475/19.0159336,72.8348172/19.0157576,72.8376364/19.0170238,72.8380555/19.0175301,72.8384276/19.0186582,72.840099/19.0195413,72.8402666/19.0203078,72.8410359/19.0197571,72.8406901/19.0194865,72.840456/19.0199225,72.8377474/19.0182782,72.8370797/19.0175376,72.8363124/19.0178101,72.8363572/19.0176236,72.836279"
13,2,"https://www.google.com/maps/dir/19.0160266,72.8399825/19.0172673,72.8410757/19.0172673,72.8410757/19.0214621,72.8429764/19.0277797,72.84560635/19.0309092,72.8486644/19.0361506,72.8529756/19.0380397,72.8537802/19.0365715,72.8566815/19.0343746,72.8607162/19.0329782,72.8612085/19.0328404,72.8612896/19.0316496,72.8616612/19.0322097,72.8631768/19.03344,72.8619126/19.0290722,72.8581734/19.0246664,72.8571466/19.0256215,72.8570158/19.0264845,72.8558476/19.0256627,72.856934"
13,3,"https://www.google.com/maps/dir/19.0270457,72.854823/19.0272725,72.8549692/19.0292643,72.8549028/19.0308437,72.854608/19.0314205,72.8532082/19.0312497,72.8534967"
