video_id,source_folder,video_name,original_video_filename,frame_filename,frame_number,timestamp_sec,timestamp_display
day_10_5_08_2026_19.7,day_10_5_08_2026,19.7,19.7.MP4,day_10_5_08_2026_19.7_frame000005.jpg,5,600,0:10:00
day_10_5_08_2026_19.8,day_10_5_08_2026,19.8,19.8.MP4,day_10_5_08_2026_19.8_frame000000.jpg,0,0,0:00:00
day_10_5_08_2026_19.8,day_10_5_08_2026,19.8,19.8.MP4,day_10_5_08_2026_19.8_frame000001.jpg,1,120,0:02:00
day_10_5_08_2026_19.8,day_10_5_08_2026,19.8,19.8.MP4,day_10_5_08_2026_19.8_frame000002.jpg,2,240,0:04:00
day_10_5_08_2026_19.8,day_10_5_08_2026,19.8,19.8.MP4,day_10_5_08_2026_19.8_frame000003.jpg,3,360,0:06:00
day_10_5_08_2026_19.8,day_10_5_08_2026,19.8,19.8.MP4,day_10_5_08_2026_19.8_frame000004.jpg,4,480,0:08:00
day_10_5_08_2026_19.9,day_10_5_08_2026,19.9,19.9.MP4,day_10_5_08_2026_19.9_frame000000.jpg,0,0,0:00:00
day_10_5_08_2026_19.9,day_10_5_08_2026,19.9,19.9.MP4,day_10_5_08_2026_19.9_frame000001.jpg,1,120,0:02:00
day_10_5_08_2026_19.9,day_10_5_08_2026,19.9,19.9.MP4,day_10_5_08_2026_19.9_frame000002.jpg,2,240,0:04:00
day_10_5_08_2026_21.1,day_10_5_08_2026,21.1,21.1.MP4,day_10_5_08_2026_21.1_frame000000.jpg,0,0,0:00:00
day_10_5_08_2026_21.1,day_10_5_08_2026,21.1,21.1.MP4,day_10_5_08_2026_21.1_frame000001.jpg,1,120,0:02:00
day_10_5_08_2026_21.1,day_10_5_08_2026,21.1,21.1.MP4,day_10_5_08_2026_21.1_frame000002.jpg,2,240,0:04:00
day_10_5_08_2026_21.1,day_10_5_08_2026,21.1,21.1.MP4,day_10_5_08_2026_21.1_frame000003.jpg,3,360,0:06:00
day_10_5_08_2026_21.1,day_10_5_08_2026,21.1,21.1.MP4,day_10_5_08_2026_21.1_frame000004.jpg,4,480,0:08:00
day_10_5_08_2026_21.1,day_10_5_08_2026,21.1,21.1.MP4,day_10_5_08_2026_21.1_frame000005.jpg,5,600,0:10:00
day_10_5_08_2026_21.1,day_10_5_08_2026,21.1,21.1.MP4,day_10_5_08_2026_21.1_frame000006.jpg,6,720,0:12:00
day_10_5_08_2026_21.1,day_10_5_08_2026,21.1,21.1.MP4,day_10_5_08_2026_21.1_frame000007.jpg,7,840,0:14:00
day_10_5_08_2026_21.2,day_10_5_08_2026,21.2,21.2.MP4,day_10_5_08_2026_21.2_frame000000.jpg,0,0,0:00:00
day_10_5_08_2026_21.2,day_10_5_08_2026,21.2,21.2.MP4,day_10_5_08_2026_21.2_frame000001.jpg,1,120,0:02:00
day_10_5_08_2026_21.2,day_10_5_08_2026,21.2,21.2.MP4,day_10_5_08_2026_21.2_frame000002.jpg,2,240,0:04:00
day_10_5_08_2026_21.2,day_10_5_08_2026,21.2,21.2.MP4,day_10_5_08_2026_21.2_frame000003.jpg,3,360,0:06:00
day_10_5_08_2026_21.2,day_10_5_08_2026,21.2,21.2.MP4,day_10_5_08_2026_21.2_frame000004.jpg,4,480,0:08:00
day_10_5_08_2026_21.3,day_10_5_08_2026,21.3,21.3.MP4,day_10_5_08_2026_21.3_frame000000.jpg,0,0,0:00:00
day_10_5_08_2026_21.3,day_10_5_08_2026,21.3,21.3.MP4,day_10_5_08_2026_21.3_frame000001.jpg,1,120,0:02:00
day_10_5_08_2026_21.3,day_10_5_08_2026,21.3,21.3.MP4,day_10_5_08_2026_21.3_frame000002.jpg,2,240,0:04:00
day_10_5_08_2026_21.3,day_10_5_08_2026,21.3,21.3.MP4,day_10_5_08_2026_21.3_frame000003.jpg,3,360,0:06:00
day_10_5_08_2026_21.3,day_10_5_08_2026,21.3,21.3.MP4,day_10_5_08_2026_21.3_frame000004.jpg,4,480,0:08:00
day_10_5_08_2026_21.4,day_10_5_08_2026,21.4,21.4.MP4,day_10_5_08_2026_21.4_frame000000.jpg,0,0,0:00:00
day_10_5_08_2026_21.4,day_10_5_08_2026,21.4,21.4.MP4,day_10_5_08_2026_21.4_frame000001.jpg,1,120,0:02:00
day_10_5_08_2026_21.4,day_10_5_08_2026,21.4,21.4.MP4,day_10_5_08_2026_21.4_frame000002.jpg,2,240,0:04:00
day_10_5_08_2026_21.4,day_10_5_08_2026,21.4,21.4.MP4,day_10_5_08_2026_21.4_frame000003.jpg,3,360,0:06:00
day_10_5_08_2026_21.5,day_10_5_08_2026,21.5,21.5.MP4,day_10_5_08_2026_21.5_frame000000.jpg,0,0,0:00:00
day_10_5_08_2026_21.5,day_10_5_08_2026,21.5,21.5.MP4,day_10_5_08_2026_21.5_frame000001.jpg,1,120,0:02:00
day_10_5_08_2026_21.5,day_10_5_08_2026,21.5,21.5.MP4,day_10_5_08_2026_21.5_frame000002.jpg,2,240,0:04:00
day_10_5_08_2026_21.5,day_10_5_08_2026,21.5,21.5.MP4,day_10_5_08_2026_21.5_frame000003.jpg,3,360,0:06:00
day_10_5_08_2026_21.5,day_10_5_08_2026,21.5,21.5.MP4,day_10_5_08_2026_21.5_frame000004.jpg,4,480,0:08:00
day_10_5_08_2026_21.5,day_10_5_08_2026,21.5,21.5.MP4,day_10_5_08_2026_21.5_frame000005.jpg,5,600,0:10:00
day_10_5_08_2026_21.5,day_10_5_08_2026,21.5,21.5.MP4,day_10_5_08_2026_21.5_frame000006.jpg,6,720,0:12:00
day_10_5_08_2026_21.5,day_10_5_08_2026,21.5,21.5.MP4,day_10_5_08_2026_21.5_frame000007.jpg,7,840,0:14:00
day_10_5_08_2026_21.5,day_10_5_08_2026,21.5,21.5.MP4,day_10_5_08_2026_21.5_frame000008.jpg,8,960,0:16:00
day_10_5_08_2026_21.5,day_10_5_08_2026,21.5,21.5.MP4,day_10_5_08_2026_21.5_frame000009.jpg,9,1080,0:18:00
day_10_5_08_2026_21.6,day_10_5_08_2026,21.6,21.6.MP4,day_10_5_08_2026_21.6_frame000000.jpg,0,0,0:00:00
day_10_5_08_2026_21.6,day_10_5_08_2026,21.6,21.6.MP4,day_10_5_08_2026_21.6_frame000001.jpg,1,120,0:02:00
day_10_5_08_2026_21.6,day_10_5_08_2026,21.6,21.6.MP4,day_10_5_08_2026_21.6_frame000002.jpg,2,240,0:04:00
day_10_5_08_2026_21.6,day_10_5_08_2026,21.6,21.6.MP4,day_10_5_08_2026_21.6_frame000003.jpg,3,360,0:06:00
day_10_5_08_2026_21.6,day_10_5_08_2026,21.6,21.6.MP4,day_10_5_08_2026_21.6_frame000004.jpg,4,480,0:08:00
