video_id,source_folder,video_name,original_video_filename,unique_video_filename,file_size_bytes,file_size_mb,file_created_at,file_modified_at,video_duration_sec,video_fps,video_resolution_wxh,video_codec,camera_model,recording_datetime,exif_filename,exif_file_path,exif_relative_path
7_itinerary_9_ce7f8df0,7,itinerary_9,itinerary_9.MP4,7_itinerary_9.MP4_ce7f8df0,3831359814,3653.869451522827,2025-05-01 12:44:31.790,2025-05-01 12:44:31.790,1461.0,29.97002997,3840x2160,hvc1,HERO13 Black,2025:04:12 13:53:20,7_itinerary_9_ce7f8df0_exif.txt,exif_files/7_itinerary_9_ce7f8df0_exif.txt,../exif_files/7_itinerary_9_ce7f8df0_exif.txt
test_test_drive_7_d1045a3c,test,test_drive_7,test_drive_7.MP4,test_test_drive_7.MP4_d1045a3c,2158914726,2058.9015254974365,2025-03-23 20:38:02.690,2025-03-23 20:38:02.690,383.0,29.97002997,3840x2160,hvc1,HERO13 Black,2025:03:23 06:27:50,test_test_drive_7_d1045a3c_exif.txt,exif_files/test_test_drive_7_d1045a3c_exif.txt,../exif_files/test_test_drive_7_d1045a3c_exif.txt
test_test_drive_4_b5b3217f,test,test_drive_4,test_drive_4.MP4,test_test_drive_4.MP4_b5b3217f,2625749526,2504.109884262085,2025-03-23 20:58:58.840,2025-03-23 20:58:58.840,466.0,29.97002997,3840x2160,hvc1,HERO13 Black,2025:03:21 05:49:52,test_test_drive_4_b5b3217f_exif.txt,exif_files/test_test_drive_4_b5b3217f_exif.txt,../exif_files/test_test_drive_4_b5b3217f_exif.txt
test_Test_drive_3_02df6f6d,test,Test_drive_3,Test_drive_3.MP4,test_Test_drive_3.MP4_02df6f6d,4024825058,3838.3722858428955,2025-03-23 21:00:07.160,2025-03-23 21:00:07.160,714.0,29.97002997,3840x2160,hvc1,HERO13 Black,2025:03:20 09:55:11,test_Test_drive_3_02df6f6d_exif.txt,exif_files/test_Test_drive_3_02df6f6d_exif.txt,../exif_files/test_Test_drive_3_02df6f6d_exif.txt
8_itinerary_9_09ca5d13,8,itinerary_9,itinerary_9.MP4,8_itinerary_9.MP4_09ca5d13,4312728220,4112.938137054443,2025-05-02 10:50:08.580,2025-05-02 10:50:08.580,767.0,29.97002997,3840x2160,hvc1,HERO13 Black,2025:04:10 12:48:12,8_itinerary_9_09ca5d13_exif.txt,exif_files/8_itinerary_9_09ca5d13_exif.txt,../exif_files/8_itinerary_9_09ca5d13_exif.txt
8_itinerary_7_65918cfa,8,itinerary_7,itinerary_7.MP4,8_itinerary_7.MP4_65918cfa,5469435462,5216.060125350952,2025-05-02 11:00:18.080,2025-05-02 11:00:18.080,971.0,29.97002997,3840x2160,hvc1,HERO13 Black,2025:04:10 11:18:46,8_itinerary_7_65918cfa_exif.txt,exif_files/8_itinerary_7_65918cfa_exif.txt,../exif_files/8_itinerary_7_65918cfa_exif.txt
8_itinerary_6_57e4df4a,8,itinerary_6,itinerary_6.MP4,8_itinerary_6.MP4_57e4df4a,6819670157,6503.744275093079,2025-05-02 10:54:24.300,2025-05-02 10:54:24.300,1212.0,29.97002997,3840x2160,hvc1,HERO13 Black,2025:04:10 10:35:20,8_itinerary_6_57e4df4a_exif.txt,exif_files/8_itinerary_6_57e4df4a_exif.txt,../exif_files/8_itinerary_6_57e4df4a_exif.txt
8_itinerary_3_cdc48f6c,8,itinerary_3,itinerary_3.MP4,8_itinerary_3.MP4_cdc48f6c,11327771785,10803.005013465881,2025-05-02 10:58:55.970,2025-05-02 10:58:55.970,2010.0,29.97002997,3840x2160,hvc1,HERO13 Black,2025:04:10 08:15:47,8_itinerary_3_cdc48f6c_exif.txt,exif_files/8_itinerary_3_cdc48f6c_exif.txt,../exif_files/8_itinerary_3_cdc48f6c_exif.txt
8_itinerary_4_c4e2ea9a,8,itinerary_4,itinerary_4.MP4,8_itinerary_4.MP4_c4e2ea9a,11779265627,11233.583094596863,2025-05-02 10:59:15.560,2025-05-02 10:59:15.560,2090.0,29.97002997,3840x2160,hvc1,HERO13 Black,2025:04:10 09:21:56,8_itinerary_4_c4e2ea9a_exif.txt,exif_files/8_itinerary_4_c4e2ea9a_exif.txt,../exif_files/8_itinerary_4_c4e2ea9a_exif.txt
8_itinerary_8_152f3633,8,itinerary_8,itinerary_8.MP4,8_itinerary_8.MP4_152f3633,10005170379,9541.674021720886,2025-05-02 11:03:14.130,2025-05-02 11:03:14.130,1775.0,29.97002997,3840x2160,hvc1,HERO13 Black,2025:04:10 11:50:17,8_itinerary_8_152f3633_exif.txt,exif_files/8_itinerary_8_152f3633_exif.txt,../exif_files/8_itinerary_8_152f3633_exif.txt
