video_id,source_folder,video_name,original_video_filename,frame_filename,frame_number,timestamp_sec,timestamp_display,video_fps,video_duration_sec,md5_hash
day_11_6_2026_GX012523,day_11_6_2026,GX012523,GX012523.MP4,day_11_6_2026_GX012523_frame000000.jpg,0,0.0,0:00:00,100.0,1088.0,43dddafa9935af5a6e922920dcde6eda
day_11_6_2026_GX012523,day_11_6_2026,GX012523,GX012523.MP4,day_11_6_2026_GX012523_frame000001.jpg,12000,120.0,0:02:00,100.0,1088.0,1b538a39ec4b4619c2f6951c71823fca
day_11_6_2026_GX012523,day_11_6_2026,GX012523,GX012523.MP4,day_11_6_2026_GX012523_frame000002.jpg,24000,240.0,0:04:00,100.0,1088.0,1eaf6b257c8ddbf83960ce25e42f4da5
day_11_6_2026_GX012523,day_11_6_2026,GX012523,GX012523.MP4,day_11_6_2026_GX012523_frame000003.jpg,36000,360.0,0:06:00,100.0,1088.0,56447ee409cd73b9ffe5cf842bfc2de2
day_11_6_2026_GX012523,day_11_6_2026,GX012523,GX012523.MP4,day_11_6_2026_GX012523_frame000004.jpg,48000,480.0,0:08:00,100.0,1088.0,bc4830a053095772a7a3475a0d35f656
day_11_6_2026_GX012523,day_11_6_2026,GX012523,GX012523.MP4,day_11_6_2026_GX012523_frame000005.jpg,60000,600.0,0:10:00,100.0,1088.0,d4326095bfdbd9375d311b2a5e3d29d1
day_11_6_2026_GX012523,day_11_6_2026,GX012523,GX012523.MP4,day_11_6_2026_GX012523_frame000006.jpg,72000,720.0,0:12:00,100.0,1088.0,e8545192978655db66f5947dae888e70
day_11_6_2026_GX012523,day_11_6_2026,GX012523,GX012523.MP4,day_11_6_2026_GX012523_frame000007.jpg,84000,840.0,0:14:00,100.0,1088.0,41dc536d021e7736c1dccf285a0f9330
day_11_6_2026_GX012523,day_11_6_2026,GX012523,GX012523.MP4,day_11_6_2026_GX012523_frame000008.jpg,96000,960.0,0:16:00,100.0,1088.0,f6ff0ef70cc7fed9068ab07eb43be89c
day_11_6_2026_GX012523,day_11_6_2026,GX012523,GX012523.MP4,day_11_6_2026_GX012523_frame000009.jpg,108000,1080.0,0:18:00,100.0,1088.0,2af6ea006f527aeffbc1aa2557c958a9
day_11_6_2026_GX012524,day_11_6_2026,GX012524,GX012524.MP4,day_11_6_2026_GX012524_frame000000.jpg,0,0.0,0:00:00,100.0,61.269333,b01ee6547cc095fef19dcef09eb83c8e
day_11_6_2026_GX012525,day_11_6_2026,GX012525,GX012525.MP4,day_11_6_2026_GX012525_frame000000.jpg,0,0.0,0:00:00,100.0,406.570667,e33024d7a047d5a3f7c66c949fc66e94
day_11_6_2026_GX012525,day_11_6_2026,GX012525,GX012525.MP4,day_11_6_2026_GX012525_frame000001.jpg,12000,120.0,0:02:00,100.0,406.570667,cad1b1f56c1e588c10c4b098e240e9be
day_11_6_2026_GX012525,day_11_6_2026,GX012525,GX012525.MP4,day_11_6_2026_GX012525_frame000002.jpg,24000,240.0,0:04:00,100.0,406.570667,1a848684a5dc567a08155be984f8d6a0
day_11_6_2026_GX012525,day_11_6_2026,GX012525,GX012525.MP4,day_11_6_2026_GX012525_frame000003.jpg,36000,360.0,0:06:00,100.0,406.570667,54981e8c324738004979926886383d10
day_11_6_2026_GX012526,day_11_6_2026,GX012526,GX012526.MP4,day_11_6_2026_GX012526_frame000000.jpg,0,0.0,0:00:00,100.0,25.39,2651b9672976578c4d37cffffedd274f
day_11_6_2026_GX012527,day_11_6_2026,GX012527,GX012527.MP4,day_11_6_2026_GX012527_frame000000.jpg,0,0.0,0:00:00,100.0,21.589333,bcaf491d1946a4f0a56914b9ea8781a7
day_11_6_2026_GX012528,day_11_6_2026,GX012528,GX012528.MP4,day_11_6_2026_GX012528_frame000000.jpg,0,0.0,0:00:00,100.0,241.14,e816ccbb2ce93aa9c86c67e1865f0367
day_11_6_2026_GX012528,day_11_6_2026,GX012528,GX012528.MP4,day_11_6_2026_GX012528_frame000001.jpg,12000,120.0,0:02:00,100.0,241.14,8106e79b6774cbb14f8375f2ccaae82f
day_11_6_2026_GX012528,day_11_6_2026,GX012528,GX012528.MP4,day_11_6_2026_GX012528_frame000002.jpg,24000,240.0,0:04:00,100.0,241.14,2c2d7174dece07ac3f7c78e1f5045e6c
day_11_6_2026_GX012529,day_11_6_2026,GX012529,GX012529.MP4,day_11_6_2026_GX012529_frame000000.jpg,0,0.0,0:00:00,100.0,60.81,a77c02ab65a6d6c826027e7ac05ecb91
day_11_6_2026_GX012530,day_11_6_2026,GX012530,GX012530.MP4,day_11_6_2026_GX012530_frame000000.jpg,0,0.0,0:00:00,100.0,329.749333,e2e72ae5776f7e39b51ae487a8e1adbe
day_11_6_2026_GX012530,day_11_6_2026,GX012530,GX012530.MP4,day_11_6_2026_GX012530_frame000001.jpg,12000,120.0,0:02:00,100.0,329.749333,185aca62b0f3862632d7f7f623eeaf59
day_11_6_2026_GX012530,day_11_6_2026,GX012530,GX012530.MP4,day_11_6_2026_GX012530_frame000002.jpg,24000,240.0,0:04:00,100.0,329.749333,93abecf2191f951c59d3785785cad330
day_11_6_2026_GX012531,day_11_6_2026,GX012531,GX012531.MP4,day_11_6_2026_GX012531_frame000000.jpg,0,0.0,0:00:00,100.0,61.482667,ffed87c9917e1219b62d35eff4a29166
day_11_6_2026_GX012532,day_11_6_2026,GX012532,GX012532.MP4,day_11_6_2026_GX012532_frame000000.jpg,0,0.0,0:00:00,100.0,330.8,a7288e13a3a0d1465a6f860d684245e1
day_11_6_2026_GX012532,day_11_6_2026,GX012532,GX012532.MP4,day_11_6_2026_GX012532_frame000001.jpg,12000,120.0,0:02:00,100.0,330.8,43f5d05046670b2d54415d529c8f8aa3
day_11_6_2026_GX012532,day_11_6_2026,GX012532,GX012532.MP4,day_11_6_2026_GX012532_frame000002.jpg,24000,240.0,0:04:00,100.0,330.8,318e7f8dc8c52a44686a560e3a65258a
day_11_6_2026_GX012533,day_11_6_2026,GX012533,GX012533.MP4,day_11_6_2026_GX012533_frame000000.jpg,0,0.0,0:00:00,100.0,26.688,7a260486892b227f3f385f582a002b0c
