video_id,video_path,status,error,expected_frames,extracted_frames,duration_sec,fps
8_itinerary_1,/Volumes/Samsung USB/missing_women/mumbai_vids/8/itinerary_1.MP4,ok,,121,120,1203.969433,29.97002997002997
8_itinerary_10,/Volumes/Samsung USB/missing_women/mumbai_vids/8/itinerary_10.MP4,ok,,66,65,653.819833,29.97002997002997
8_itinerary_2_1,/Volumes/Samsung USB/missing_women/mumbai_vids/8/itinerary_2_1.MP4,ok,,87,87,867.800267,29.97002997002997
8_itinerary_2_2,/Volumes/Samsung USB/missing_women/mumbai_vids/8/itinerary_2_2.MP4,ok,,88,88,877.243033,29.97002997002997
8_itinerary_3,/Volumes/Samsung USB/missing_women/mumbai_vids/8/itinerary_3.MP4,ok,,201,201,2009.7077,29.97002997002997
8_itinerary_4,/Volumes/Samsung USB/missing_women/mumbai_vids/8/itinerary_4.MP4,ok,,209,209,2089.7877,29.97002997002997
8_itinerary_5,/Volumes/Samsung USB/missing_women/mumbai_vids/8/itinerary_5.MP4,ok,,53,53,525.291433,29.97002997002997
8_itinerary_6,/Volumes/Samsung USB/missing_women/mumbai_vids/8/itinerary_6.MP4,ok,,122,121,1212.4112,29.97002997002997
8_itinerary_7,/Volumes/Samsung USB/missing_women/mumbai_vids/8/itinerary_7.MP4,ok,,98,97,970.736433,29.97002997002997
8_itinerary_8,/Volumes/Samsung USB/missing_women/mumbai_vids/8/itinerary_8.MP4,ok,,178,178,1775.039933,29.97002997002997
8_itinerary_9,/Volumes/Samsung USB/missing_women/mumbai_vids/8/itinerary_9.MP4,ok,,77,77,767.299867,29.97002997002997
test_Test_drive_3,/Volumes/Samsung USB/missing_women/mumbai_vids/test/Test_drive_3.MP4,ok,,72,71,714.080033,29.97002997002997
test_gps_test_1,/Volumes/Samsung USB/missing_women/mumbai_vids/test/gps_test_1.MP4,ok,,3,2,20.653967,29.97002997002997
test_gps_test_2,/Volumes/Samsung USB/missing_women/mumbai_vids/test/gps_test_2.MP4,ok,,3,2,20.653967,29.97002997002997
test_gps_test_3,/Volumes/Samsung USB/missing_women/mumbai_vids/test/gps_test_3.MP4,ok,,3,2,21.154467,29.97002997002997
test_test_drive_4,/Volumes/Samsung USB/missing_women/mumbai_vids/test/test_drive_4.MP4,ok,,47,47,465.731933,29.97002997002997
test_test_drive_5,/Volumes/Samsung USB/missing_women/mumbai_vids/test/test_drive_5.mp4,ok,,45,45,449.982867,29.97002997002997
test_test_drive_6,/Volumes/Samsung USB/missing_women/mumbai_vids/test/test_drive_6.mp4,ok,,46,45,451.717933,29.97002997002997
test_test_drive_7,/Volumes/Samsung USB/missing_women/mumbai_vids/test/test_drive_7.MP4,ok,,39,38,383.049333,29.97002997002997
test_test_drive_8,/Volumes/Samsung USB/missing_women/mumbai_vids/test/test_drive_8.mp4,ok,,73,72,720.252867,29.97002997002997
